Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
39,57,1,19,7,150
39,57,1,19,7,177
39,57,1,19,7,178
39,57,1,19,7,186
39,57,1,19,7,194
39,57,1,19,7,200
39,57,2,19,7,224
39,57,3,19,7,271
39,57,1,19,7,292
39,57,2,19,7,314
39,57,2,19,7,408
39,57,2,19,7,453
39,57,2,19,7,510
39,57,3,19,7,527
39,58,3,20,1,141
39,58,3,20,1,166
39,58,2,20,1,168
39,58,3,20,1,169
39,58,2,20,1,176
39,58,1,20,1,200
39,58,3,20,1,224
39,58,3,20,1,269
39,58,1,20,1,270
39,58,2,20,1,271
39,58,3,20,1,286
39,58,1,20,1,292
39,58,3,20,1,314
39,58,3,20,1,327
39,58,3,20,1,374
39,58,3,20,1,408
39,58,2,20,1,534
39,59,4,21,2,34
39,59,3,21,2,141
39,59,1,21,2,177
39,59,2,21,2,190
39,59,2,21,2,194
39,59,3,21,2,200
39,59,2,21,2,271
39,59,3,21,2,290
39,59,2,21,2,292
39,59,3,21,2,299
39,59,2,21,2,314
39,59,2,21,2,327
39,59,1,21,2,341
39,59,2,21,2,374
39,59,2,21,2,388
39,59,3,21,2,408
39,59,2,21,2,453
39,59,3,21,2,472
39,59,4,21,2,485
39,59,3,21,2,494
39,59,1,21,2,506
39,59,1,21,2,531
39,60,3,22,3,16
39,60,3,22,3,34
39,60,4,22,3,94
39,60,4,22,3,114
39,60,2,22,3,169
39,60,4,22,3,180
39,60,4,22,3,186
39,60,1,22,3,190
39,60,3,22,3,192
39,60,1,22,3,194
39,60,4,22,3,196
39,60,3,22,3,269
39,60,2,22,3,271
39,60,2,22,3,290
39,60,1,22,3,292
39,60,2,22,3,299
39,60,1,22,3,314
39,60,3,22,3,323
39,60,3,22,3,326
39,60,2,22,3,368
39,60,3,22,3,370
39,60,1,22,3,374
39,60,1,22,3,388
39,60,1,22,3,408
39,60,1,22,3,453
39,60,2,22,3,472
39,60,3,22,3,485
39,60,4,22,3,492
39,60,4,22,3,494
39,60,3,22,3,506
39,60,2,22,3,510
39,60,3,22,3,513
39,60,2,22,3,525
39,60,1,22,3,534
39,61,2,23,4,0
39,61,1,23,4,5
39,61,1,23,4,9
39,61,1,23,4,16
39,61,1,23,4,47
39,61,4,23,4,79
39,61,3,23,4,141
39,61,3,23,4,170
39,61,4,23,4,174
39,61,3,23,4,175
39,61,2,23,4,189
39,61,4,23,4,191
39,61,2,23,4,192
39,61,4,23,4,194
39,61,4,23,4,224
39,61,2,23,4,243
39,61,1,23,4,249
39,61,2,23,4,272
39,61,1,23,4,285
39,61,2,23,4,290
39,61,4,23,4,292
39,61,1,23,4,299
39,61,3,23,4,301
39,61,2,23,4,323
39,61,2,23,4,324
39,61,4,23,4,341
39,61,2,23,4,363
39,61,4,23,4,368
39,61,4,23,4,370
39,61,4,23,4,374
39,61,2,23,4,408
39,61,3,23,4,453
39,61,1,23,4,492
39,61,2,23,4,498
39,62,1,24,5,0
39,62,2,24,5,16
39,62,2,24,5,114
39,62,2,24,5,141
39,62,2,24,5,171
39,62,3,24,5,174
39,62,2,24,5,175
39,62,2,24,5,186
39,62,2,24,5,190
39,62,3,24,5,192
39,62,3,24,5,194
39,62,2,24,5,196
39,62,3,24,5,224
39,62,2,24,5,260
39,62,4,24,5,286
39,62,3,24,5,290
39,62,1,24,5,292
39,62,2,24,5,299
39,62,2,24,5,301
39,62,2,24,5,327
39,62,3,24,5,341
39,62,2,24,5,361
39,62,1,24,5,363
39,62,3,24,5,368
39,62,3,24,5,370
39,62,2,24,5,421
39,62,2,24,5,453
39,62,3,24,5,472
39,62,3,24,5,527
39,62,2,24,5,530
39,63,4,25,6,113
39,63,2,25,6,169
39,63,1,25,6,186
39,63,3,25,6,192
39,63,2,25,6,224
39,63,1,25,6,260
39,63,4,25,6,271
39,63,1,25,6,285
39,63,3,25,6,286
39,63,3,25,6,290
39,63,4,25,6,292
39,63,1,25,6,299
39,63,2,25,6,321
39,63,1,25,6,361
39,63,2,25,6,370
39,63,4,25,6,449
39,63,1,25,6,453
39,63,2,25,6,472
39,63,3,25,6,530
39,64,1,26,7,0
39,64,2,26,7,79
39,64,1,26,7,94
39,64,2,26,7,109
39,64,1,26,7,112
39,64,1,26,7,124
39,64,2,26,7,170
39,64,4,26,7,173
39,64,1,26,7,180
39,64,1,26,7,186
39,64,1,26,7,188
39,64,1,26,7,191
39,64,1,26,7,192
39,64,1,26,7,194
39,64,1,26,7,200
39,64,1,26,7,224
39,64,1,26,7,270
39,64,1,26,7,271
39,64,4,26,7,286
39,64,4,26,7,292
39,64,2,26,7,334
39,64,3,26,7,342
39,64,3,26,7,397
39,64,4,26,7,453
39,64,1,26,7,494
39,64,2,26,7,527
39,64,3,26,7,530
39,65,4,27,1,0
39,65,2,27,1,79
39,65,4,27,1,124
